year	week	win	temp	rsv
1996	27	1	16.81	7
1996	28	1	17.24	2
1996	29	1	17.81	1
1996	30	1	16.57	3
1996	31	2	16.86	3
1996	32	2	17.81	2
1996	33	2	17.39	3
1996	34	2	14.21	4
1996	35	3	15.63	3
1996	36	3	12.89	4
1996	37	3	12.74	6
1996	38	3	13.33	12
1996	39	4	11.19	6
1996	40	4	12.04	13
1996	41	4	11.53	18
1996	42	4	12.76	36
1996	43	5	11.49	44
1996	44	5	8.61	76
1996	45	5	4.91	99
1996	46	5	2.69	163
1996	47	6	4.74	354
1996	48	6	3.81	519
1996	49	6	3	759
1996	50	6	4.6	983
1996	51	7	0.7	1220
1996	52	7	-0.89	833
1997	1	7	1.13	885
1997	2	7	4.19	602
1997	3	8	3.89	365
1997	4	8	3.97	437
1997	5	8	5.53	515
1997	6	8	6.27	439
1997	7	9	8.1	315
1997	8	9	7.8	278
1997	9	9	7.09	208
1997	10	9	9.53	137
1997	11	10	8.54	98
1997	12	10	8.67	73
1997	13	10	8.84	61
1997	14	10	8.99	49
1997	15	11	7.93	31
1997	16	11	8.59	23
1997	17	11	13.31	18
1997	18	11	8.04	10
1997	19	12	12.49	15
1997	20	12	10.54	10
1997	21	12	13.6	7
1997	22	12	16.09	16
1997	23	13	15.04	12
1997	24	13	13.01	5
1997	25	13	12.43	9
1997	26	13	13.63	6
1997	27	14	18.09	11
1997	28	14	16.94	13
1997	29	14	17.39	4
1997	30	14	16.61	7
1997	31	15	20.27	5
1997	32	15	20.54	13
1997	33	15	20.2	4
1997	34	15	15.84	5
1997	35	16	15.2	9
1997	36	16	13.5	8
1997	37	16	14.29	8
1997	38	16	13.57	13
1997	39	17	15.04	28
1997	40	17	12.33	42
1997	41	17	11.54	61
1997	42	17	7.16	100
1997	43	18	5.53	188
1997	44	18	8.93	288
1997	45	18	8.07	399
1997	46	18	9.13	524
1997	47	19	8.06	818
1997	48	19	3.5	1061
1997	49	19	8.29	1248
1997	50	19	4.54	1306
1997	51	20	6.64	1186
1997	52	20	5.99	860
1998	1	20	7.16	884
1998	2	20	7.37	484
1998	3	21	2.89	289
1998	4	21	2.13	205
1998	5	21	4.64	136
1998	6	21	10.03	130
1998	7	22	8.21	103
1998	8	22	6.93	59
1998	9	22	7.94	48
1998	10	22	5.89	43
1998	11	23	8.11	29
1998	12	23	9.11	28
1998	13	23	9.74	20
1998	14	23	6.04	28
1998	15	24	4.83	25
1998	16	24	10.36	18
1998	17	24	9.46	32
1998	18	24	12.24	23
1998	19	25	14.87	7
1998	20	25	13.9	16
1998	21	25	12.69	14
1998	22	25	13.2	11
1998	23	26	12.69	7
1998	24	26	15.8	11
1998	25	26	15.04	9
1998	26	26	14.6	8
1998	27	27	15.51	7
1998	28	27	15.11	11
1998	29	27	15.83	10
1998	30	27	15.96	12
1998	31	28	17.23	8
1998	32	28	17.31	14
1998	33	28	15.53	11
1998	34	28	14.09	10
1998	35	29	16.09	10
1998	36	29	14.54	14
1998	37	29	14.36	19
1998	38	29	14.94	12
1998	39	30	12.64	31
1998	40	30	10.4	30
1998	41	30	10.91	70
1998	42	30	11.27	90
1998	43	31	8.94	162
1998	44	31	7.44	223
1998	45	31	7.73	321
1998	46	31	3.6	442
1998	47	32	6.29	626
1998	48	32	2.5	1016
1998	49	32	6.86	1223
1998	50	32	7.53	1197
1998	51	33	4.53	1110
1998	52	33	6.69	819
1999	1	33	4.21	513
1999	2	33	5.49	266
1999	3	34	5.91	225
1999	4	34	6.46	198
1999	5	34	2.13	164
1999	6	34	7.03	126
1999	7	35	5.54	113
1999	8	35	6.19	107
1999	9	35	5.6	52
1999	10	35	8.49	67
1999	11	36	7.57	42
1999	12	36	11.39	59
1999	13	36	11.09	35
1999	14	36	5.26	26
1999	15	37	9.14	26
1999	16	37	12.09	12
1999	17	37	12.96	27
1999	18	37	12.63	15
1999	19	38	12.84	15
1999	20	38	13.56	8
1999	21	38	13.1	19
1999	22	38	12.1	13
1999	23	39	15.47	7
1999	24	39	14.66	4
1999	25	39	16.1	14
1999	26	39	18.87	13
1999	27	40	16.76	14
1999	28	40	17.24	6
1999	29	40	18.49	6
1999	30	40	18.87	11
1999	31	41	15.43	3
1999	32	41	13.23	12
1999	33	41	16.31	7
1999	34	41	17.81	9
1999	35	42	16.69	14
1999	36	42	13.97	21
1999	37	42	15.16	12
1999	38	42	12.71	26
1999	39	43	11.24	38
1999	40	43	10.34	65
1999	41	43	9.7	89
1999	42	43	11.41	155
1999	43	44	9.86	242
1999	44	44	8.16	423
1999	45	44	4.71	535
1999	46	44	8.81	712
1999	47	45	7.23	1129
1999	48	45	7.14	1169
1999	49	45	2.9	1081
1999	50	45	4.24	823
1999	51	46	4.5	648
1999	52	46	5.89	397
2000	1	46	3.97	330
2000	2	46	4.16	227
2000	3	47	4.33	180
2000	4	47	8.49	177
2000	5	47	6.66	151
2000	6	47	4.67	120
2000	7	48	5.7	149
2000	8	48	5.93	88
2000	9	48	10.13	86
2000	10	48	8.33	55
2000	11	49	7.31	49
2000	12	49	5.93	33
2000	13	49	5.76	27
2000	14	49	5.14	23
2000	15	50	9.44	25
2000	16	50	10.94	16
