day	asma	pm10
1	3	26
2	2	23
3	2	30
4	3	35
5	5	42
6	4	49
7	3	20
8	2	19
9	0	24
10	3	35
11	2	24
12	1	19
13	3	31
14	4	36
15	2	26
16	3	18
17	3	20
18	2	16
19	1	7
20	1	20
21	4	26
22	3	35
23	3	20
24	0	14
25	0	20
26	3	22
27	1	28
28	3	17
29	0	24
30	3	26
31	0	26
32	3	27
33	1	31
34	1	34
35	4	12
36	2	18
37	0	28
38	0	21
39	1	21
40	3	11
41	1	31
42	0	32
43	4	33
44	1	40
45	0	18
46	1	13
47	1	12
48	3	12
49	0	18
50	2	19
51	0	12
52	1	20
53	1	12
54	1	13
55	1	14
56	1	17
57	1	18
58	1	22
59	1	22
60	0	29
61	2	54
62	0	31
63	1	18
64	0	36
65	0	50
66	0	33
67	0	29
68	0	12
69	3	27
70	2	10
71	0	21
72	0	28
73	0	20
74	2	18
75	2	10
76	1	20
77	0	29
78	2	37
79	2	46
80	1	14
81	0	24
82	0	16
83	1	21
84	0	9
85	1	18
86	2	37
87	0	42
88	3	27
89	5	21
90	1	28
91	3	31
92	2	34
93	2	41
94	0	30
95	0	25
96	1	14
97	4	21
98	3	29
99	4	31
100	4	9
101	3	17
102	3	19
103	1	16
104	1	14
105	0	16
106	0	16
107	1	18
108	5	20
109	5	18
110	3	18
111	0	13
112	0	21
113	0	16
114	2	29
115	0	20
116	1	17
117	0	18
118	3	22
119	1	20
120	1	18
121	1	21
122	1	33
123	0	43
124	1	13
125	0	21
126	1	51
127	3	64
128	1	45
129	0	33
130	1	17
131	1	16
132	1	26
133	1	24
134	2	31
135	0	47
136	1	30
137	0	39
138	2	43
139	1	47
140	1	37
141	0	32
142	3	12
143	2	24
144	1	29
145	0	27
146	1	25
147	0	16
148	1	30
149	0	16
150	1	36
151	0	19
152	2	10
153	1	15
154	0	16
155	0	8
156	3	15
157	0	31
158	1	26
159	2	15
160	2	13
161	1	14
162	0	16
163	0	18
164	0	23
165	0	15
166	3	9
167	1	12
168	1	15
169	0	17
170	1	23
171	1	20
172	1	16
173	1	15
174	1	33
175	0	30
176	2	20
177	1	24
178	3	35
179	4	18
180	3	31
181	1	60
182	3	77
183	0	38
184	1	16
185	1	20
186	3	17
187	1	21
188	1	31
189	1	12
190	0	18
191	0	18
192	1	23
193	2	25
194	2	14
195	2	26
196	0	26
197	1	19
198	3	17
199	2	18
200	2	18
201	1	16
202	2	20
203	1	26
204	0	32
205	2	19
206	0	18
207	2	23
208	1	20
209	1	21
210	3	24
211	2	45
212	1	27
213	0	32
214	2	38
215	0	25
216	0	31
217	1	31
218	1	30
219	1	18
220	0	27
221	0	20
222	0	16
223	0	29
224	1	22
225	0	23
226	2	20
